LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 1.0
Lattice spacing in x,y,z = 1 1 1
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.5) to (20 20 0.5)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.5) to (20 20 0.5)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 31 31 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.055 | 3.055 | 3.055 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
    113500   1.1138525      0.42398714     0              1.535055       12.223343    
    114000   1.0334596      0.44087127     0              1.4717472      12.244553    
    114500   1.1484322      0.41572895     0              1.5612901      12.097333    
    115000   1.1759612      0.38939762     0              1.5624189      11.584665    
    115500   1.1704192      0.4172455      0              1.5847386      12.194661    
    116000   1.2039073      0.43459204     0              1.6354895      12.59645     
    116500   1.0660816      0.4023794      0              1.4657958      11.55012     
    117000   1.0347666      0.41510594     0              1.4472856      11.931901    
    117500   1.0283417      0.40053104     0              1.4263019      11.464621    
    118000   1.0388545      0.38142489     0              1.4176823      11.679227    
    118500   1.0900618      0.36440558     0              1.4517422      10.821981    
    119000   0.99756241     0.38709711     0              1.3821656      11.409617    
    119500   1.0512451      0.35179425     0              1.4004112      10.829974    
    120000   0.95913739     0.34547317     0              1.3022127      10.37264     
    120500   0.95024099     0.36118496     0              1.3090503      10.958673    
    121000   0.89788461     0.39618445     0              1.2918243      11.49544     
    121500   0.92642081     0.35188809     0              1.2759928      10.985664    
    122000   0.8899194      0.35534926     0              1.2430439      10.805735    
    122500   0.81818101     0.32813414     0              1.1442697      10.020726    
    123000   0.85432667     0.30480168     0              1.1569925      9.5898651    
    123500   0.77806794     0.29422138     0              1.0703442      9.3767072    
    124000   0.80020135     0.26634049     0              1.0645413      8.9546902    
    124500   0.8346537      0.24871422     0              1.0812813      8.6025648    
    125000   0.79366544     0.31149053     0              1.1031718      9.5351232    
    125500   0.78804458     0.26735116     0              1.0534256      8.9485688    
    126000   0.91124328     0.24678075     0              1.1557459      8.4021573    
    126500   0.7586586      0.33115847     0              1.0879204      10.227078    
    127000   0.76468791     0.25364667     0              1.0164229      8.1873211    
    127500   0.76255782     0.24548531     0              1.0061367      8.4972928    
    128000   0.7201555      0.31204739     0              1.0304025      9.8872313    
    128500   0.83058134     0.26609368     0              1.0945986      9.1574582    
    129000   0.75345824     0.25754303     0              1.0091176      8.7773885    
    129500   0.72475474     0.22947324     0              0.9524161      8.0611537    
    130000   0.63971765     0.24210709     0              0.88022545     8.0923227    
    130500   0.64881553     0.22964752     0              0.87684101     7.941436     
    131000   0.60288952     0.19799562     0              0.79937792     7.0857812    
    131500   0.62798997     0.18573821     0              0.81215821     6.7747135    
    132000   0.58141608     0.17279271     0              0.75275525     6.4875356    
    132500   0.57043129     0.20182895     0              0.77083416     6.9824587    
    133000   0.63410819     0.13639925     0              0.76892217     5.6055062    
    133500   0.56534163     0.17787402     0              0.74180229     6.6714498    
    134000   0.50327133     0.19240247     0              0.69441563     6.918648     
    134500   0.55415068     0.1705452      0              0.72331051     6.7429667    
    135000   0.54232481     0.19939581     0              0.74036481     7.3475015    
    135500   0.59132129     0.16509996     0              0.75494294     6.110044     
    136000   0.53087034     0.1825095      0              0.71205266     6.8223491    
    136500   0.49563074     0.1835888      0              0.67798046     6.7171665    
    137000   0.48300385     0.143306       0              0.62510234     5.8875401    
    137500   0.49032135     0.12258769     0              0.61168324     5.1703138    
    138000   0.44862406     0.1337154      0              0.5812179      5.5382616    
    138500   0.43538142     0.12395473     0              0.5582477      5.1869894    
    139000   0.41495188     0.13121053     0              0.54512503     5.3827453    
    139500   0.43283589     0.10685771     0              0.53861151     4.7370725    
    140000   0.41722356     0.11875294     0              0.53493344     5.1529285    
    140500   0.42664022     0.10756829     0              0.53314191     4.678835     
    141000   0.37245345     0.094544287    0              0.46606661     4.4086573    
    141500   0.36174012     0.10173231     0              0.46256808     4.408614     
    142000   0.3368425      0.082949372    0              0.41894976     3.8766673    
    142500   0.3129113      0.081247439    0              0.39337646     3.9111688    
    143000   0.31699108     0.065887243    0              0.38208585     3.4746945    
    143500   0.30526084     0.084400413    0              0.3888981      3.895606     
